,"Note: You can directly modify the content of ""MSA"", but not ""English"" and ""Darija"". 
If the original ""Darija"" is indeed wrong, please provide the correction in the ""Darija_arabic correction"" column. 
For other remarks, please leave a comment in the ""Observations"" column.",,,,,,,,,,,,,,
4013,"after all, we are beer specialists","al jiti tchof, 7na matkhasin f lbira","أل جيتي تشوف, حنا ماتخاسين ف لبيرا",في النهاية، نحن متخصصون في البيرة,TRUE,ABBADI Khaoula,,إلا جيتي تشوف، حنا متخصْصِين ف لبيرا.,FALSE,Rajaa,,,,,
4014,Perfect!,momtaz!,مومتاز!,مثالي!,TRUE,ABBADI Khaoula,,مُمتاز!,FALSE,Rajaa,,,,,
4015,I like a lot of bitter beer,ana kanbghi bzaf t lbirra lmorra,أنا كانبغي بزاف ت لبيرّا لمورّا,أنا أحب الكثير من البيرة المرة,TRUE,ABBADI Khaoula,,أنا كايعجبوني بزاف ت لبيرّات مرِّين,FALSE,Rajaa,,,,,
4016,Could you pour me a pint?,ta9dar tkob liya chi kwiyyes?,تاقدار تكوب لييا شي كوييّس?,هل يمكنك أن تصب لي نصف لتر؟,TRUE,ABBADI Khaoula,,واخا تكُبلي شي كويّس؟,FALSE,Rajaa,,,,,
4017,Then I'll have a whole liter!,o mn ba3d ghdi nakhod iTro kaml!,أُ من باعد غدي ناخود إطرو كامل!,عندها سأحصل على لتر كامل!,TRUE,ABBADI Khaoula,,أُ من بعد غادي ناخُد إطرو كامل!,FALSE,Rajaa,,,,,
4018,What do you have to eat?,achno 3andk lmakla?,أشنو عاندك لماكلا?,ماذا لديكم للأكل؟,TRUE,ABBADI Khaoula,,,,,,,,,
4019,What do you have to eat?,chno 3ndk flmakla?,شنو عندك فلماكلا?,ماذا لديكم للأكل؟,TRUE,ABBADI Khaoula,,,,,,,,,
4020,What do you have to eat?,chno kayn 3ndk f lmakla?,شنو كاين عندك ف لماكلا?,ماذا لديكم للأكل؟,TRUE,ABBADI Khaoula,,,,,,,,,
4021,What do you have to eat?,achno kayn 3andak fl9ss?,أشنو كاين عانداك فلقسّ?,ماذا لديكم للأكل؟,TRUE,ABBADI Khaoula,,,,,,,,,
4022,"remember, drink responsibly.","redd lbal, chreb o 9yyes","ردّ لبال, شرب أُ قيّس",تذكر، اشرب بمسؤولية.,TRUE,ABBADI Khaoula,,,,,,,,,
4023,let's eat,yalah naklo,يالاه ناكلو,لنأكل,TRUE,ABBADI Khaoula,,,,,,,,,
4024,let's eat,yalah n9ssiw,يالاه نقسّيو,لنأكل,TRUE,ABBADI Khaoula,,,,,,,,,
4025,let's eat,yalah nDrbo chi 9siyyes,يالاه نضربو شي قسييّس,لنأكل,TRUE,ABBADI Khaoula,,,,,,,,,
4026,let me see,khlini nchof,خليني نشوف,دعني أرى,TRUE,ABBADI Khaoula,,,,,,,,,
4027,let me see,bllati nchof,بلّاتي نشوف,دعني أرى,TRUE,ABBADI Khaoula,,,,,,,,,
4028,let me see,Sbr nchof,صبر نشوف,دعني أرى,TRUE,ABBADI Khaoula,,,,,,,,,
4029,you're going to need something hearty to soak up all that beer,ghadi ta7taj chi 7aja chahiya bach tmaS ga3 dik lbira,غادي تاحتاج شي حاجا شاهييا باش تماص ڭاع ديك لبيرا,ستحتاج إلى شيء مشبع لامتصاص كل تلك البيرة,TRUE,ABBADI Khaoula,,غادي تحتاج شي حاجا تقيلة باش تمص ڭاع ديك لبيرا,FALSE,Rajaa,,,,,
4030,it looks like you going to be having quite a big night tonight,bayna ghadi dwwez lila zwina had llila,باينا غادي دوّز ليلا زوينا هاد الليلا,يبدو أنك ستقضي ليلة كبيرة جدًا الليلة,TRUE,ABBADI Khaoula,,,,,,,,,
4031,I'm still in charge!,ba9i ana lmas2oul,باقي أنا لماسأول,ما زلت المسؤول!,TRUE,ABBADI Khaoula,,باقي أنا مسأول!,FALSE,Rajaa,,,,,
4032,I'll take a cab.,ghadi nakhod taxi.,غادي ناخود تاشي.,سأستقل سيارة أجرة.,TRUE,ABBADI Khaoula,,غا نشد تاكسي.,FALSE,Rajaa,,,,,
4033,how about our burger platter,o mal l burger,أُ مال ل بورڭر,ما رأيك في صحن البرغر الخاص بنا,TRUE,ABBADI Khaoula,,آش بانلك فالپلا دالبورݣر؟,FALSE,Rajaa,,,,,
4034,sound good?,kayban mzyan,كايبان مزيان,يبدو جيدًا؟,TRUE,ABBADI Khaoula,,بلان؟,FALSE,Rajaa,,,,,
4035,Perfect!,blaan!,بلان!,ممتاز!,TRUE,ABBADI Khaoula,,,,,,,,,
4036,a selection of 30 miniature burgers,majmo3a syal 30 burger Sghar,ماجموعا سيال 30 بورڭر صغار,مجموعة من 30 برغر مصغر,TRUE,ABBADI Khaoula,,مجموعة ديال 30 بورڭر صغار,FALSE,Rajaa,,,,,
4037,each with its own unique cheese and meat combo,kol wa7da 3ndha chwia mn frmaj o l7am,كول واحدا عندها شويا من فرماج أُ لحام,كل منها بمزيج فريد من الجبن واللحم,TRUE,ABBADI Khaoula,,كول وحدا عندها مزيج ديالها دالفرماج أُ لحم ,FALSE,Rajaa,,,,,
4038,But I don't like onions,walakin ana makanbghich lbaSla,والاكين أنا ماكانبغيش لباصلا,ولكني لا أحب البصل,TRUE,ABBADI Khaoula,,,,,,,,,
4039,But I don't like onions,walakin ana ma3ndich m3a lbaSla,والاكين أنا ماعنديش معا لباصلا,ولكني لا أحب البصل,TRUE,ABBADI Khaoula,,و لكن أنا مكتعجبنيش البصلا.,FALSE,Rajaa,,,,,
4040,Do you have a burger without onions?,wach 3andak burger bla bSla?,واش عانداك بورڭر بلا بصلا?,هل لديكم برغر بدون بصل؟,TRUE,ABBADI Khaoula,,و لكن أنا معنديش مع البصلا.,FALSE,Rajaa,,,,,
4041,I don't want to be difficult,mabghitch nkon S3ib,مابغيتش نكون صعيب,لا أريد أن أكون صعبًا,TRUE,ABBADI Khaoula,,مبغيتش نمرّضك.,FALSE,Rajaa,,,,,
4042,we can do all of our burgers without onions if you prefer,n9adro ndiro lik ga3 l burger bla basla ila bghiti,نقادرو نديرو ليك ڭاع ل بورڭر بلا باسلا إلا بغيتي,يمكننا تحضير جميع البرغر الخاصة بنا بدون بصل إذا كنت تفضل ذلك,TRUE,ABBADI Khaoula,,نقدرو نديرو ليك ڭاع لي بورڭر بلا بصلا إلا بغيتي,FALSE,Rajaa,,,,,
4043,"30 burgers, hold the onions.",30 burger bla bSla,30 بورڭر بلا بصلا,ثلاثون برغر، بدون بصل.,TRUE,ABBADI Khaoula,,,,,,,,,
4044,I'll put the order through,ghadi nwajad Talab,غادي نواجاد طالاب,سأقوم بتمرير الطلب,TRUE,ABBADI Khaoula,,غادي نوجد الطَّلب,FALSE,Rajaa,,,,,
4045,"as we say, the customer is always right.",kif kan9olo zabon dima 3ando l7a9,كيف كانقولو زابون ديما عاندو لحاق,كما نقول، العميل دائمًا على حق.,TRUE,ABBADI Khaoula,,,,,,,,,
4046,"as we say, the customer is always right.",kimma kangolo lklyan dima 3ando l7a9,كيمّا كانڭولو لكليان ديما عاندو لحاق,كما نقول، العميل دائمًا على حق.,TRUE,ABBADI Khaoula,,,,,,,,,
4047,"Put on a lot of cheese, especially!","diri bzaf dyal lfarmaj, blkhoSous!","ديري بزاف ديال لفارماج, بلخوصوس!",ضع الكثير من الجبن، بشكل خاص!,TRUE,ABBADI Khaoula,,كتّر لفارماج، بلخُصوص!,FALSE,Rajaa,,,,,
4048,I'm gonna need a lot of water to pass all those potatoes,ghadi na7taj bzaf dyal lma bach ndawz ga3 had bTaTa,غادي ناحتاج بزاف ديال لما باش نداوز ڭاع هاد بطاطا,سأحتاج إلى الكثير من الماء لتمرير كل تلك البطاطس,TRUE,ABBADI Khaoula,,غا نحتاج بزاف ديال لما باش ندوز ڭاع هاد بطاطا,FALSE,Rajaa,,,,,
4049,Bring me another one soon.,jib liya wa7d akhor mn daba chwia,جيب لييا واحد أخور من دابا شويا,أحضر لي واحدًا آخر قريبًا.,TRUE,ABBADI Khaoula,,,,,,,,,
4050,"Good morning, Doctor",sbah lkhir doctor,سباه لخير دوكتور,صباح الخير يا دكتور,TRUE,ABBADI Khaoula,,صباح لخير دوكتور,FALSE,Rajaa,,,,,
4051,"Now, tell me.",daba goliya,دابا ڭولييا,الآن، أخبرني.,TRUE,ABBADI Khaoula,,,,,,,,,
4052,What's been going on?,ach kan wa9a3?,أش كان واقاع?,ما الذي كان يحدث؟,TRUE,ABBADI Khaoula,,آش كان واقع؟,FALSE,Rajaa,,,,,
4053,I need to talk to you,khasni na8Dar m3ak,خاسني ناهضار معاك,أحتاج إلى التحدث معك,TRUE,ABBADI Khaoula,,خاسني نهضر معاك,FALSE,Rajaa,خاسني ندوي معاك,,,,
4054,Can I sit in this chair?,wach na9dar nglas 3la had lkorsi?,واش ناقدار نڭلاس علا هاد لكورسي?,هل يمكنني الجلوس على هذا الكرسي؟,TRUE,ABBADI Khaoula,,واش نقدر نڭلس ف هاد لكُرسي؟,FALSE,Rajaa,,,,,
4055,"No, that's mine.","la, hadak dyali","لا, هاداك ديالي",لا، ذلك لي.,TRUE,ABBADI Khaoula,,,,,,,,,
4056,But you can sit anywhere else.,walakin t9dr tglas f ay blasa khra,والاكين تقدر تڭلاس ف أي بلاسا خرا,ولكن يمكنك الجلوس في أي مكان آخر.,TRUE,ABBADI Khaoula,,ولكن تقدر تڭلس ف أيَّ بلاصا خرا,FALSE,Rajaa,,,,,
4057,"Or if you prefer, you can lie down there","wla ila bghiti, ta9dar takka l8i8","ولا إلا بغيتي, تاقدار تاكّا لهيه",أو إذا كنت تفضل، يمكنك الاستلقاء هناك,TRUE,ABBADI Khaoula,,ولّا إلا بغيتي، تقدر تّكّا لهيه,FALSE,Rajaa,,,,,
4058,Some people prefer that.,chi nas kaybghiw hakkak,شي ناس كايبغيو هاكّاك,بعض الناس يفضلون ذلك.,TRUE,ABBADI Khaoula,,شي ناس كيفضلو هَکّاك,FALSE,Rajaa,,,,,
4059,Can I lie on this couch?,wach na9dar ntakka 3la had 2arika?,واش ناقدار نتاكّا علا هاد أريكا?,هل يمكنني الاستلقاء على هذا الأريكة؟,TRUE,ABBADI Khaoula,,واش نقدر نتكّا علا هاد الفوتويْ؟,FALSE,Rajaa,,,,,
4060,Can I lie on this couch?,wach n9dar ntjbbed fhad l fauteuil?,واش نقدار نتجبّد فهاد ل فوتويل?,هل يمكنني الاستلقاء على هذا الأريكة؟,TRUE,ABBADI Khaoula,,واش نقدر نتكّا علا هاد الفوتويْ؟,FALSE,Rajaa,,,,,
4061,I don't want to bother you,mabghitch nSadd3ak,مابغيتش نصادّعاك,لا أريد أن أزعجك,TRUE,ABBADI Khaoula,,مابغيتش نصْدّعك,FALSE,Rajaa,مابغيتش نحرقلك راسك.,,,,
4062,he looks clean and new,kayban liya n9i o jdid,كايبان لييا نقي أُ جديد,يبدو نظيفًا وجديدًا,TRUE,ABBADI Khaoula,,,,,,,,,
4063,I'm kind of worried about sitting on it,ana khayf chwiya mn lglis 3lih,أنا خايف شوييا من لڭليس عليه,أنا قلق بعض الشيء بشأن الجلوس عليه,TRUE,ABBADI Khaoula,,,,,,,,,
4064,I don't want to ruin it,mabghitch nkhasar8a,مابغيتش نخاسارها,لا أريد أن أفسده,TRUE,ABBADI Khaoula,,مابغيتش نخَسَّرها,FALSE,Rajaa,,,,,
4065,I think it would make me feel better to stand,kandan law9of ghadi ykon 7san lia,كاندان لاوقوف غادي يكون حسان ليا,أعتقد أن الوقوف سيجعلني أشعر بتحسن,TRUE,ABBADI Khaoula,,كانضن إلا وقفت أنحس حسن.,FALSE,Rajaa,,,,,
4066,Would you like me to take my shoes off?,wach bghiti mni n7ayad sbaT?,واش بغيتي مني نحاياد سباط?,هل تريد مني أن أخلع حذائي؟,TRUE,ABBADI Khaoula,,واش بغيتيني نحيد السباط؟,FALSE,Rajaa,,,,,
4067,Notice how bad my feet feel,chof ch7al mkarfSin rajliya,شوف شحال مكارفصين راجلييا,لاحظ كم تشعر قدماي بالسوء,TRUE,ABBADI Khaoula,,شوف شحال كيضرّوني رجلييا.,FALSE,Rajaa,,,,,
4068,I don't know too much what would be best,ana ma3rafch mzyan achno lli 7san,أنا ماعرافش مزيان أشنو اللي حسان,لا أعرف الكثير عما قد يكون الأفضل,TRUE,ABBADI Khaoula,,مامتأكدش شنو لي غيكون حسن.,FALSE,Rajaa,,,,,
4069,"Calm down, please.","t8addan, 3afak","تهادّان, عافاك",هدأ من فضلك.,TRUE,ABBADI Khaoula,,تهَدّن، عافاك,FALSE,Rajaa,,,,,
4070,Please don't worry,3afak matkhafch,عافاك ماتخافش,من فضلك لا تقلق,TRUE,ABBADI Khaoula,,عافاك بلا ما تقلق.,FALSE,Rajaa,,,,,
4071,Aren't you hot?,wach mafikch skhoniya?,واش مافيكش سخونييا?,ألستَ حارًا؟,TRUE,ABBADI Khaoula,,واش ماجاكش الصهد؟,FALSE,Rajaa,,,,,
4072,Please just make yourself at home,3afak dir rassk b7ala fdarkom,عافاك دير راسّك بحالا فداركوم,تفضل واشعر كأنك في بيتك,TRUE,ABBADI Khaoula,,,,,,,,,
4073,But there's no need to panic,walakin makayn lach tkhaf,والاكين ماكاين لاش تخاف,ولكن لا داعي للذعر,TRUE,ABBADI Khaoula,,و لكن بلا ماتخلع.,FALSE,Rajaa,,,,,
4074,"So, if you're feeling comfortable, what's been going on?","ewa, ila kanti mrta7, ach kat3awd?","إوا, إلا كانتي مرتاح, أش كاتعاود?",إذا كنت تشعر بالراحة، ما الذي يحدث؟,TRUE,ABBADI Khaoula,,إوا، إلا كنتي مرتاح، أش كاتعاود؟,FALSE,Rajaa,,,,,
4075,I think my neighbors think I want to hurt them,kandan bila jirani kays7ab lihom bghit n2adihom,كاندان بيلا جيراني كايسحاب ليهوم بغيت نأديهوم,أعتقد أن جيراني يظنون أنني أريد أن أؤذيهم,TRUE,ABBADI Khaoula,,,,,,,,,
4076,So I'm afraid to stay at home and try to make the least noise,dakchi 3lach kankhaf nb9a fdar o kan7awl mandirch Sda3,داكشي علاش كانخاف نبقا فدار أُ كانحاول مانديرش صداع,لذا أنا خائف من البقاء في المنزل وأحاول أن أحدث أقل قدر من الضوضاء,TRUE,ABBADI Khaoula,,,,,,,,,
4077,But it's tiring,walakin hadchi kay3ayi,والاكين هادشي كايعايي,لكنه متعب,TRUE,ABBADI Khaoula,,,,,,,,,
4078,"I don't belong anywhere, you know.","mab9it mrta7 ftta 9nt,rak 3arf","مابقيت مرتاح فتّا قنت,راك عارف",أنا لا أنتمي إلى أي مكان، أتعلم.,TRUE,ABBADI Khaoula,,,,,,,,,
4079,I'm sure there's somewhere you fit in.,ana mat2akad bila kayna chi blasa katnasbak,أنا ماتأكاد بيلا كاينا شي بلاسا كاتناسباك,أنا متأكد أن هناك مكانًا تنتمي إليه.,TRUE,ABBADI Khaoula,,,,,,,,,
4080,Have you always felt like this?,wach mn dima kat7ess b7al haka?,واش من ديما كاتحسّ بحال هاكا?,هل شعرت دائمًا بهذا الشكل؟,TRUE,ABBADI Khaoula,,,,,,,,,
4081,But I think it's getting harder for me in time,walakin kandan bila kaytzad 3liya So3oba m3a lwa9t,والاكين كاندان بيلا كايتزاد علييا صوعوبا معا لواقت,لكن أعتقد أن الأمور تصبح أصعب بالنسبة لي مع مرور الوقت,TRUE,ABBADI Khaoula,,,,,,,,,
4082,"Plus, my new neighbors are weird.",o zid 3liha jirani jjdad fchkel,أُ زيد عليها جيراني الجداد فشكل,بالإضافة إلى ذلك، جيراني الجدد غريبون.,TRUE,ABBADI Khaoula,,,,,,,,,
4083,They always look at me with a strange look,dima kaychofo fiya choufa ghariba,ديما كايشوفو فييا شوفا غاريبا,دائمًا ما ينظرون إليّ بنظرة غريبة,TRUE,ABBADI Khaoula,,,,,,,,,
4084,I think they're listening to what I'm doing through the walls,kanDnn kaysam3o ldakchi likandir mnora l7yoTa,كانضنّ كايسامعو لداكشي ليكاندير منورا لحيوطا,أعتقد أنهم يستمعون إلى ما أقوم به من خلال الجدران,TRUE,ABBADI Khaoula,,,,,,,,,
4085,Do you listen to them through the walls too?,wach 7ta nta katsma3 lihom mora l7yoT?,واش حتا نتا كاتسماع ليهوم مورا لحيوط?,هل تستمع إليهم من خلال الجدران أيضًا؟,TRUE,ABBADI Khaoula,,,,,,,,,
4086,"Oh, no, I'd be too afraid if they found out I was listening","oh, la, ghadi nkon khayf bzaf ila 3arfo bila kantSannat 3lihom","أُه, لا, غادي نكون خايف بزاف إلا عارفو بيلا كانتصانّات عليهوم",آه، لا، سأكون خائفًا جدًا إذا اكتشفوا أنني كنت أستمع,TRUE,ABBADI Khaoula,,آ لا، غا نتخلع بزاف إلا عرفو بيلا كانتصنّت عليهوم,FALSE,Rajaa,,,,,
4087,But I still hear them,walakin mazal kansma38om,والاكين مازال كانسماعهوم,ولكني ما زلت أسمعهم,TRUE,ABBADI Khaoula,,,,,,,,,
4088,The walls aren't that thick,l7yoTa maghlaDch bzaf,لحيوطا ماغلاضش بزاف,الجدران ليست سميكة جدًا,TRUE,ABBADI Khaoula,,,,,,,,,
4089,That's why I feel like I'm watching,dakchi 3lach kan7as b7ala kantfaraj,داكشي علاش كانحاس بحالا كانتفاراج,لذلك أشعر وكأنني أشاهد,TRUE,ABBADI Khaoula,,داكشي علاش كانحس بحالا كانتفرج,FALSE,Rajaa,,,,,
4090,But I don't have the money to move into a house,walakin ma3ndich lflous bach nr7al ldar khra,والاكين ماعنديش لفلوس باش نرحال لدار خرا,لكن ليس لدي المال للانتقال إلى منزل,TRUE,ABBADI Khaoula,,,,,,,,,
4091,"Oh, so you live in a flat at the moment?","ah, idan nti kat3ichi f parTma flwa9t l7ali?","أه, إدان نتي كاتعيشي ف پارطما فلواقت لحالي?",آه، إذًا أنت تعيش في شقة في الوقت الحالي؟,TRUE,ABBADI Khaoula,,آه، إدان عايشة ف پارطما هاد الساعة؟,FALSE,Rajaa,,,,,
4092,"Yes, I did, didn't I tell you earlier?","ah, wach magalthach lik mn 9bal?","أه, واش ماڭالتهاش ليك من قبال?",نعم، لقد فعلت، ألم أخبرك من قبل؟,TRUE,ABBADI Khaoula,,,,,,,,,
4093,I'm sorry.,sm7i lia,سمحي ليا,أنا آسف.,TRUE,ABBADI Khaoula,,,,,,,,,
4094,Maybe you did,ya9dar galtiha,ياقدار ڭالتيها,ربما فعلت,TRUE,ABBADI Khaoula,,تقدر تكون ݣلتيها,FALSE,Rajaa,,,,,
4095,No worries.,hania.,هانيا.,لا داعي للقلق.,TRUE,ABBADI Khaoula,,,,,,,,,
4096,But you never had problems with the old neighbours then?,walakin ma3mmr kano 3ndk machakil m3a jiran l9dam diksa3?,والاكين ماعمّر كانو عندك ماشاكيل معا جيران لقدام ديكساع?,ولكنك لم تواجه مشاكل مع الجيران القدامى من قبل؟,TRUE,ABBADI Khaoula,,,,,,,,,
4097,She was an old person who didn't hear anything and make no noise,kant mra charfa masm3at walo o madart 7ta Sda3,كانت مرا شارفا ماسمعات والو أُ مادارت حتا صداع,كانت امرأة عجوز لا تسمع شيئًا ولا تحدث ضجيجًا,TRUE,ABBADI Khaoula,,,,,,,,,
4098,I didn't feel at home,ma7asitch brasi fddar,ماحاسيتش براسي فدّار,لم أشعر بالانتماء,TRUE,ABBADI Khaoula,,ما حسيتش براسي مرتاح.,FALSE,Rajaa,,,,,
4099,"Well, that will give us a good basis to start with next time","wakha, hadi ghadi t3tina asas zwin bach nbdaw bih lmrra jaya","واخا, هادي غادي تعتينا أساس زوين باش نبداو بيه لمرّا جايا",حسنًا، سيوفر ذلك لنا أساسًا جيدًا للبدء به في المرة القادمة,TRUE,ABBADI Khaoula,,,,,,,,,
4100,I'm afraid our time is up for today,lil2asaf w9tna lyouma t9ada,ليلأساف وقتنا ليوما تقادا,أخشى أن وقتنا قد انتهى لليوم,TRUE,ABBADI Khaoula,,,,,,,,,
4101,I've got lots of other patients to see,3andi bzaf dyal lmarda akhrin bach nchofhom,عاندي بزاف ديال لماردا أخرين باش نشوفهوم,لدي الكثير من المرضى الآخرين لرؤيتهم,TRUE,ABBADI Khaoula,,عندي بزاف ديال لمرضا خرين نشوفهوم,FALSE,Rajaa,,,,,
4102,And a date this lunchtime!,o li9a2 gharami f wa9t lghda!,أُ ليقاء غارامي ف واقت لغدا!,وموعد في وقت الغداء اليوم!,TRUE,ABBADI Khaoula,,,,,,,,,
4103,Please sign out at reception when you leave,3afak sajal lkhoroj dyalk fl isti9bal mnin tkhraj,عافاك ساجال لخوروج ديالك فل إستيقبال منين تخراج,يرجى تسجيل الخروج عند الاستقبال عند مغادرتك,TRUE,ABBADI Khaoula,,عافاك سجل لخروج ديالك فل إستقبال منين تخرج,FALSE,Rajaa,,,,,
4104,"Okay, thanks for your time, I'm sorry I bothered you","wakha, chokran 3la lw9t li 3Titini, sma7 liya 7it Sda3tak","واخا, شوكران علا لوقت لي عطيتيني, سماح لييا حيت صداعتاك",حسنًا، شكرًا على وقتك، أنا آسف لإزعاجك,TRUE,ABBADI Khaoula,,واخا، شكرا علا لوقت لي عطيتيني، سمح لييا صدعتك,FALSE,Rajaa,,,,,
4105,And I'm sorry I'm always sorry...,sma7 liya sma7 liya dima ...,سماح لييا سماح لييا ديما ...,وأنا آسف دائمًا أنا آسف...,TRUE,ABBADI Khaoula,,وسمح لييا ديما غنڭولك سمح لييا...,FALSE,Rajaa,,,,,
4106,I'm sorry,sma7 liya,سماح لييا,أنا آسف,TRUE,ABBADI Khaoula,,سمح لييا,FALSE,Rajaa,,,,,
4107,"Good morning, ma'am.",Sbah lkhir lala,صباه لخير لالا,صباح الخير يا سيدتي.,TRUE,ABBADI Khaoula,,صباح لخير لالا,FALSE,Rajaa,,,,,
4108,I'm having a hard time understanding the odds,kanl9a So3oba bach nfham l2i7timalat,كانلقا صوعوبا باش نفهام لإحتيمالات,أجد صعوبة في فهم الاحتمالات,TRUE,ABBADI Khaoula,,كانلقا صعوبة باش نفهم لإحتمالات,FALSE,Rajaa,,,,,
4109,It's too complicated for me that's done only literature so far!,"l2amr m3a9ad 3andi, rah dart ghir l2adab tal daba safi","لأمر معاقاد عاندي, راه دارت غير لأداب تال دابا سافي",إنه معقد للغاية بالنسبة لي، أنا الذي اقتصرت فقط على الأدب حتى الآن!,TRUE,ABBADI Khaoula,,هادشي جاني معقد، راه حتال دابا كندير غير لأدب ,FALSE,Rajaa,,,,,
4110,"Help me, please!",3awnni 3afak,عاونّي عافاك,الرجاء مساعدتي!,TRUE,ABBADI Khaoula,,,,,,,,,
4111,"Well, I am an English teacher, so I'm not sure I'll be much help...","awdi, ana ostad dyal nglizia, dakchi 3lach mamt2akadch wach ghan3awnk mzyan...","أودي, أنا أُستاد ديال نڭليزيا, داكشي علاش مامتأكادش واش غانعاونك مزيان...",حسنًا، أنا مُدرّس لغة إنجليزية، لذا لست متأكدًا من أنني سأكون مُفيدًا كثيرًا...,TRUE,ABBADI Khaoula,,أودي، أنا أُستاد ديال نڭليزيا، ماعرفتش واش غانفعك فشي حاجة...,FALSE,Rajaa,,,,,
4112,Do you not like Mr Jameson?,wach makatbghich ssi Jameson?,واش ماكاتبغيش السي جامسون?,ألا تحب السيد جيمسون؟,TRUE,ABBADI Khaoula,,واش ماكيعجبكش السي جامسون؟,FALSE,Rajaa,,,,,
4113,"He's your maths teacher, right?","hoa l ostad dyal riyadiyat dyalk, yak?","هوا ل أُستاد ديال رييادييات ديالك, ياك?",هو مُدرّس الرياضيات الخاص بك، أليس كذلك؟,TRUE,ABBADI Khaoula,,هوا لأُستاد ديال رياضيات ديالك، ياك؟,FALSE,Rajaa,,,,,
4114,I would understand,n9dr nf8m,نقدر نفهم,سأفهم,TRUE,ABBADI Khaoula,,,,,,,,,
4115,he can sometimes come across as a bit intimidating,kayban chi mrat kaykhla3 chwiya,كايبان شي مرات كايخلاع شوييا,قد يبدو في بعض الأحيان مخيفًا بعض الشيء,TRUE,ABBADI Khaoula,,,,,,,,,
4116,Start by telling me what you understand,bda b annak tgoliha chno katfham,بدا ب أنّاك تڭوليها شنو كاتفهام,ابدأ بإخباري بما تفهم,TRUE,ABBADI Khaoula,,,,,,,,,
4117,I know you're an English teacher,frasi nta ostad tl anglais,فراسي نتا أُستاد تل أنڭلايس,أعلم أنك مدرس لغة إنجليزية,TRUE,ABBADI Khaoula,,كنعرفك نتا أُستاد تل نڭليزية,FALSE,Rajaa,,,,,
4118,but Mr. Hossam is a bully!,walakin rah ssi Hossam kayTll3ha 3lina,والاكين راه السي هوسّام كايطلّعها علينا,ولكن السيد حسام متنمر!,TRUE,ABBADI Khaoula,,ولكن راه السي حوسام حڭّار,FALSE,Rajaa,,,,,
